"Sample","BioMaterialCharacteristics",,,,,,"Experimental Procedure",,,,,"Filenames",,
"ID","BioSourceProvider","BioSourceType","Organism","OrganismPart","CellType","CellType","Protocol REF","Protocol REF","Protocol REF","Protocol REF","ArrayDesign REF","EXP","CEL","CHP"
"A","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","tonsil","Dendritic Cell","Plasmacytoid CD123+ DCs","P-DCextrtonsil","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","A 041201.EXP","A 041201.CEL","A 041201.CHP"
"B","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","tonsil","Dendritic Cell","Plasmacytoid CD123+ DCs","P-DCextrtonsil","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","B 041201.EXP","B 041201.CEL","B 041201.CHP"
"C","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","tonsil","Dendritic Cell","Plasmacytoid CD123+ DCs","P-DCextrtonsil","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","C 041201.EXP","C 041201.CEL","C 041201.CHP"
"D","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","tonsil","Dendritic Cell","Myeloid BDCA1+ DCs","P-DCextrtonsil","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","D 041221.EXP","D 041221.CEL","D 041221.CHP"
"E","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","tonsil","Dendritic Cell","Myeloid BDCA1+ DCs","P-DCextrtonsil","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","E 041221.EXP","E 041221.CEL","E 041221.CHP"
"F","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","tonsil","Dendritic Cell","Myeloid BDCA1+ DCs","P-DCextrtonsil","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","F 041221.EXP","F 041221.CEL","F 041221.CHP"
"G","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","tonsil","Dendritic Cell","Myeloid BDCA3+ DCs","P-DCextrtonsil","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","G 041221.EXP","G 041221.CEL","G 041221.CHP"
"H","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","tonsil","Dendritic Cell","Myeloid BDCA3+ DCs","P-DCextrtonsil","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","H 041221.EXP","H 041221.CEL","H 041221.CHP"
"I","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","tonsil","Dendritic Cell","Myeloid BDCA3+ DCs","P-DCextrtonsil","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","I 041221.EXP","I 041221.CEL","I 041221.CHP"
"J","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","blood","Dendritic Cell","Plasmacytoid CD123+ DCs","P-DCextrblood","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","J 041201.EXP","J 041201.CEL","J 041201.CHP"
"K","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","blood","Dendritic Cell","Plasmacytoid CD123+ DCs","P-DCextrblood","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","K 041201.EXP","K 041201.CEL","K 041201.CHP"
"L","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","blood","Dendritic Cell","Plasmacytoid CD123+ DCs","P-DCextrblood","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","L 041201.EXP","L 041201.CEL","L 041201.CHP"
"M","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","blood","Dendritic Cell","Myeloid BDCA1+ DCs","P-DCextrblood","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","M 041202.EXP","M 041202.CEL","M 041202.CHP"
